屌丝	Loser
请保持场所内清洁	Don't Litter
请保持过道畅通	Please keep gateways clear
请保持两车间安全距离	Keep Safe Distance between Vehicles
请保持门口畅通	Please keep clear of the door
请保存好收据，作为交款凭证，并享受保修	Please retain this receipt as proof of your purchase and your guarantee
请保管好您随身携带的物品	Take Care of Your Belongings
请保管好随身物品	Take Care of Your Belongings
请保护古迹	Please Protect Historical Sites
请保护古树	Please Protect Heritage Trees
请保留车票待检	Please retain your ticket for inspection
请保留张贴	Please Save The Bill
请不要把自行车靠到或锁到栏杆上	Do not obstruct or chain cycles to the railings
请不要把自行车靠到栏杆上	Do not put bicycles against the railings
请不要把自行车锁到栏杆上	Please do not chain bicycles to these railings
请不要触摸展品	Please Do Not Touch The Exhibits
请不要堵住门口	Leave by entrance door
请不要堵住入口	Please do not obstruct entrance
请不要践踏草坪	Please keep off the grass
请不要靠防护栏	Please do not lean on these barriers
请不要随便从架子上取书籍	Please do not help yourself to books from this shelf
请不要在此倒垃圾	Please do not leave rubbish here
请不要在护拦前停车	Please do not park in front of the barrier
请不要站在门口	Stand clear of the door
请擦去鞋上的泥土	Wipe Your Shoes And Boots
请出示证件	Please Show Your Credentials
请当面点清	Please check your change before leaving the checkout area
请到检票处换硬币	Coin Change at Ticket Office
请付现金	Please Pay In Cash
请关闭通讯工具	Please turn off Cellphones
请关闭通讯设备	Please Turn Off Cellphones & Beepers
请及时归还	Return in time
请将此座位留给老年人、残疾人和抱孩子的人	Please offer this seat to elderly or disabled people or those carrying children
请将机票或登机牌准备好接受安检	Please have your ticket or boarding card ready for inspection
请将手机和寻呼机静音	Please Mute Cellphones & Beepers
请将手机静音	Please Mute Cell phones
请将通讯工具设置为静音	Please Mute Cellphones & Beepers
请将未选中的书放回原处	Please reshelf the books you don't want
请节约用水	Save water, please
请节约用纸	Please Save Paper
请仅在紧急情况下使用	Please only use in an emergency
请靠右行	Keep Right
请靠右走	Right Side, please
请靠左行	Keep Left
请牢记：将您需要清洗的毛巾放在地板上；	put towels you want washed on the floor
将您准备继续使用的毛巾挂在毛巾架上	Leave towels you will use again on the towel racks
您的举手之劳将有助环保	This simple gesture helps protect the environment
请留下您的意见	Post your comments here
请您不要随意移动隔离墩	Don't Move Barriers
请您不要坐在护栏上边	Don't Sit on the Guardrail
请您当面点清票款	Please check your Change and Ticket
请您监督驾驶员使用计价器收费	Make sure the driver charges according to the meter
请您刷卡	Swipe Your Card
请您在返回车前先付费	Please pay before returning to your car
请您注意上方/小心碰头	Watch Your Head
请您自觉接受行包安检	Please Have Your Baggage Checked
请排成一队	Please join th main queue
请排队候场	Please Line Up
请排队购票	Queue Up For Tickets
请确保此门上下关紧	Please ensure that this door is closed top & bottom
请确保已买票并张贴	Please ensure that you have paid and display
车辆绕行	Vehicle By-pass
请绕行此路	Arrow Only
请上二层	Upstairs to Floor 2
请稍等或自便，主人会领你入座	Please wait here or take advantage until our hostess escorts to your table
请守秩痔	Keep Order
请随身携带你的行李	Please leave your luggage with you at all times
请随手关门	Close the door behind you
请往后站	Stand Back
请勿把物品堆放在此通道	Keep Passageway Clear
请勿触摸	No Touch
请勿打扰	Do Not Disturb
严禁携带宠物	No Pets
请勿蹬踏	Don’t Step On
请勿动手（小心夹手）	Please Keep Hands Off
请勿动手	Please Keep Hands Off
小心夹手	Please Keep Hands Off
请勿挤靠车门，以免发生危险	For your safety, please keep clear of the door
请勿践踏草坪	Keep off the Grass
请勿将软包装的饮料带入场内	No Drinks from Outside
请勿将纸巾丢人马桶	Please Don't Throw Paper Towel Into Toilet
请勿惊吓动物	Don't Frighten the Animals
请勿靠近	Keep Away
请勿跨越栏杆	DO Not Proceed Beyond Rail
请勿乱动开关	Please Don't Touch the Switch
请勿乱涂	No Scribbling
请勿拍打玻璃	Don't Tap/ Knock on Glass
请勿拍照	No Photos
请勿攀摘花果	Don't Pick Flowers Or Fruit
请勿疲劳驾驶	Don't Drive when Tired
请勿扔垃圾	Don’t Litter
请勿摄像	No Filming/No Video
请勿摄影	No Video
请勿摄影/请勿拍照	No Photography/No Photos
请勿摄影	No Photos
请勿手扶	Keep Hands Off/ Don't Touch/ Please Keep off
请勿投食	Don't Feed the Animals
请勿外带食品	No Food from Outside
请勿戏弄动物	Don't Spit On The Floor
请勿饮食	No Eating or Drinking
请勿用手触摸	Don't Touch
请勿用手摸	Hands Off
请勿在本餐厅内进食非麦当劳食品	Seating reserved for consumption of McDonald's food only
请勿在本区域堆弃垃圾	Please refrain from dumpling rubbish in this area
请勿在此通道处堆放物品	Keep This Passage (Intersection) Clear
请勿在地上乱扔果皮废纸	Don't Litter The Floor With Fruit Skins Or Waste Paper
请勿在自动门前停留	Please don’t stand in front of the automatic door
请勿张贴	Post No Bills
请勿长时间上网	Please don't surf for a long time
请系好安全带	Buckle Up
请小心驾驶	Please drive carefully
请协助确保列车准点运行	Please help to run trains on time
请协助我们，保持地铁清洁卫生	Help us to keep the tube litter free
请沿此路上山	Climbing Route
请沿站台过往	Pass along the platform please
请阅次页	P.T.O. (Please Turn Over)
请在乘车前购买好车票	Please buy your ticket before you board the train
请在此等候咨询	Please wait here for enquiries
请在此排队	Please Queue Here
请在此邮寄，谢谢合作	Please post all your mail here，thank you
请在黄线外等候	Wait Beyond Yellow Line
请在黄线外排队	Please Wait Behind Yellow Line
请在你使用时，也为别人着想	Please use yours with consideration for others
请在前后门下车	Please get off at the front or rear door
请照看好您的物品/请保管好自己财物	Take Care of Your belongings/ Keep an eye on your belongings
请照看好您的小孩	Please Attend to Your Children
请注意避让除雪作业车辆	Watch for Snow Sweeper
请注意公共卫生	Pay Attention To Public Hygiene
请准时入场，对号入座，迟到的观众请在场外等候，待幕间安静时，入场就近入座	Please arrive punctually and take your numbered seat. Latecomers please wait outside, and take a seat nearby during an interval
请自觉维护场内卫生环境	Please Keep the Area Clean/ Please Don't Litter
请走其它门	Please use other doors
请走人行道	Keep to the path
请遵守场内秩序	Please Keep/Maintain Order
曲奇	Cookies
取包处	Bag Claim
取车时需交押金	You will be required to leave a deposit when you pick up the car
取行李	Luggage pick up
取行李传送带	Reclaim belt
权然后知轻重，度然后知长短	Having weighted it we know is importance. Having considered it we know is drawback
全部价格包括邮资和包装	All prices include postage and packing
全面送货	Delivery Service
全年开放	Open all year round/ Open all year
全年每天开放	Open all year daily
全市范围免费送货	Free City-Wide Delivery
染片室	stain room
让	Give Way
让家长省心放心，让孩子成人成才	Save the parents from anxiety and prepare the children for their brilliant futures
让你的钱增值	Making your money grow
让我们的校园更文明，让我们的心灵更高尚	Let’s make our campus environment even more civilized and our sour even more exalted
让学生从你的目光中找到自信，让孩子从你的微笑中体会温馨	Let the students find confidence in your eyes and let children feel the warmth of your smile
热	Hot
热爱生活，学会生活，创造生活	Learn how to love life; Learn how to live a meaningful life; Learn how to create your life
热爱学生，尊敬家长，团结同事	Love your students, respect their parents, and get along well with your peers
热菜（炒菜）	Hot Dishes
热疗室	thermotheraphy room
热卖	Best Sellers
热情友好的服务，舒适温馨的家	Warm, friendly service in a comfortable home
热水器	Water Heater
人才是企业成长的原动力	Manpower is a prime driver for the growth of an organization
人工肝治疗室	alss room
人行横道	Pedestrian crossing
人行通道，不得骑车	Footpath Only, No Cycling Allowed
人行通道，禁止骑车	Footpath Only, No Cycling Allowed
人行通道不准骑自行车	No Cycling on Sidewalk
人类	Anthropology
人人品管做得好,顾客抱怨自然少	Everybody should take care of product quality to avoid complain from customer
人人提案创新，成本自然减轻	If everyone makes some innovation, the cost will automatically decrease
人人为我，我为人人	All for me, one for all
人人有改善的责任，事事有改善的目标	Everyone has the duty for improvement, everything has the goal for improvement
人人做整理、现场有条理、全员做清扫、环境更美好	Everyone makes tidying to make site organized, Everyone does cleaning to make environment better
人生有限,学问无涯	Art is long, but life is short
人应为生而食,不应为食而生	One should eat to live, not live to eat
认真做事，能把事做对用心做事，才能把事做好	Work seriously can do right things，Work diligently can do things well
认真做事只能把事情做对,用心做事才能把事情做好	With earnest attitude,you can do correctly.But only with heart devoted, you can do well
任何人不许越过此处	No persons allowed beyond this point
任何人的聪明才智绝非得之偶然	No man was ever wise by chance
任何人都得承认实验是科学之父	Anyone has admitted an experiment is the father of science
任何时间不准停车	No stopping at any time
日复一日地做好每件事 ，就是一件很了不起的事	It's already a great thing to do everything well in every day
日用百货	Daily Household Necessities
日用品	Daily Necessities
如果我所见的比笛卡儿远一点，那是因为我站在巨人的肩上的缘故	If I have seen farther than Descartes, it is because I stand on the shoulders of giants
如遇火警，请按电铃	In Case Of Fire Ring The Alarm Bell
如遇火警，请呆在车内	In case of fire, stay in vehicle
如遇渗漏，勿吸气体	IF LEAKING, NO INHALE FUME
乳腺钼靶机房	mammography room
入境检验	Passport control
入口	Entrance
软基路段	Soft Roadbed
软件	Software
三个臭皮匠，顶个诸葛亮	Many heads are better than one
三年级办公室	Office of Grade Three
三向式信号机	Three-Way Signal
散场通道	Exit
散文	Prose
桑拿浴房	Sauna
善学者尽其理，善行者究其难	Find out how to learn to learn well, Find out how to go to go farther
商场经理	Store Manager
商品继续销价	Sale continues in store
商品买卖	Purchases and Sales
商品展示柜，此产品不参加活动	Display Only
商务办公室	Business office
商务休闲装	Business Casual Wear
商务中心	Business Center
上车排队	Queue Up For Bus
上方施工，注意安全	Danger, Men Working Overhead
上面在施工	Working overhead
上网登记处	Registration
上网区	Surfing Zone
稍候安捧入座	Please Wait To Be Seated
少先队大队部	Young Pioneers Group Headquarters
少先队队室	Young Pioneers Group-room
少壮不努力，老大徒伤悲	A young idler, an old beggar
设备点检细心做，预防维修不出错	Making inspection and maintenance for equipment carefully to prevent against problems
